Articulo_1,Articulo_2,Similitud
Computational Thinking and Epistemic Heterogeneity...,Preparing Elementary Preservice Teachers to Integr...,0.2882
Computational Thinking and Epistemic Heterogeneity...,Supports of Data Cache Division for Computational ...,0.2487
Computational Thinking and Epistemic Heterogeneity...,Misinformation Resilient Search Rankings with Webg...,0.2701
Computational Thinking and Epistemic Heterogeneity...,First-Order Temporal Logic on Finite Traces: Seman...,0.2474
Computational Thinking and Epistemic Heterogeneity...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2304
Computational Thinking and Epistemic Heterogeneity...,Computational Geometry Column 68,0.1907
Computational Thinking and Epistemic Heterogeneity...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2716
Preparing Elementary Preservice Teachers to Integr...,Supports of Data Cache Division for Computational ...,0.2682
Preparing Elementary Preservice Teachers to Integr...,Misinformation Resilient Search Rankings with Webg...,0.2909
Preparing Elementary Preservice Teachers to Integr...,First-Order Temporal Logic on Finite Traces: Seman...,0.28
Preparing Elementary Preservice Teachers to Integr...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2436
Preparing Elementary Preservice Teachers to Integr...,Computational Geometry Column 68,0.1945
Preparing Elementary Preservice Teachers to Integr...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.3017
Supports of Data Cache Division for Computational ...,Misinformation Resilient Search Rankings with Webg...,0.248
Supports of Data Cache Division for Computational ...,First-Order Temporal Logic on Finite Traces: Seman...,0.2808
Supports of Data Cache Division for Computational ...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2544
Supports of Data Cache Division for Computational ...,Computational Geometry Column 68,0.2091
Supports of Data Cache Division for Computational ...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2645
Misinformation Resilient Search Rankings with Webg...,First-Order Temporal Logic on Finite Traces: Seman...,0.2429
Misinformation Resilient Search Rankings with Webg...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2383
Misinformation Resilient Search Rankings with Webg...,Computational Geometry Column 68,0.2044
Misinformation Resilient Search Rankings with Webg...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.274
First-Order Temporal Logic on Finite Traces: Seman...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.3012
First-Order Temporal Logic on Finite Traces: Seman...,Computational Geometry Column 68,0.2234
First-Order Temporal Logic on Finite Traces: Seman...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2956
Good-for-Game QPTL: An Alternating Hodges Semantic...,Computational Geometry Column 68,0.186
Good-for-Game QPTL: An Alternating Hodges Semantic...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2408
Computational Geometry Column 68,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2188
